,rid,id,text,category_first,category_second,polarity,from,to
256,1280166,1280166:0,We visited Orsay during NY Restaurant Week and tried their $35 menu.,,,,,
257,1280166,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",SERVICE,GENERAL,positive,0,7
258,1280166,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",FOOD,QUALITY,positive,0,4
259,1280166,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,DRINKS,STYLE_OPTIONS,positive,0,19
260,1280166,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,AMBIENCE,GENERAL,positive,0,25
261,1280179,1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",RESTAURANT,GENERAL,positive,16,26
262,1280179,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE,GENERAL,neutral,14,21
263,1280179,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",SERVICE,GENERAL,positive,0,7
264,1280179,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",FOOD,QUALITY,positive,0,4
265,1280179,1280179:4,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",SERVICE,GENERAL,neutral,0,0
266,1280179,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",AMBIENCE,GENERAL,positive,4,9
267,1286916,1286916:0,I have NEVER been disappointed in the Red Eye.,RESTAURANT,GENERAL,positive,38,45
268,1286916,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",AMBIENCE,GENERAL,positive,55,69
269,1286916,1286916:2,I've never ordered anything else from their menu...there's no need to.,,,,,
270,1286916,1286916:3,It's simply the best meal in NYC.,FOOD,QUALITY,positive,21,25
271,1286916,1286916:4,You cannot go wrong at the Red Eye Grill.,RESTAURANT,GENERAL,positive,27,40
272,1287538,1287538:0,"If we were to move from the upper east side, we would genuinely miss this restaurant.",RESTAURANT,GENERAL,positive,74,84
273,1287538,1287538:1,We've lived in the area for more than 8 years.,,,,,
274,1287538,1287538:2,The restaurant is cute but not upscale.,RESTAURANT,GENERAL,neutral,4,14
275,1287538,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,FOOD,QUALITY,positive,4,8
276,1287538,1287538:4,I would highly recommend it.,RESTAURANT,GENERAL,positive,0,0
277,1287538,1287538:5,It's one of our favorite places to eat in NY.,RESTAURANT,GENERAL,positive,0,0
278,1289424,1289424:0,We had a great time at the Jekyll and hyde Pub last night.,RESTAURANT,GENERAL,positive,27,46
279,1289424,1289424:1,We were walking around the village and went into this place just for some drinks.,,,,,
280,1289424,1289424:2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,RESTAURANT,MISCELLANEOUS,positive,39,42
281,1289424,1289424:3,The server was really cool and served us our food and drinks with a smile.,SERVICE,GENERAL,positive,4,10
282,1289424,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,AMBIENCE,GENERAL,positive,12,17
283,1289424,1289424:5,I highly recommend visiting this restaurant and having dinner and drinks!,RESTAURANT,GENERAL,positive,33,43
284,1293334,1293334:0,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",RESTAURANT,MISCELLANEOUS,positive,86,91
285,1293334,1293334:1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",RESTAURANT,GENERAL,positive,55,74
286,1293334,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",DRINKS,STYLE_OPTIONS,positive,28,33
287,1293334,1293334:3,The entertainment was great they have shows that go on through out the dinner.,AMBIENCE,GENERAL,positive,4,17
288,1293334,1293334:4,"Please take my advice, go and try this place.",RESTAURANT,GENERAL,positive,39,44
289,1293334,1293334:5,Its located in greenewich village.,,,,,
290,1293334,1293334:6,You will not be disapointed at all.,RESTAURANT,GENERAL,positive,0,0
291,1297844,1297844:0,Our first time in New York and we had to try a New York Bagel.,,,,,
292,1297844,1297844:1,We were not dissappointed in the least bit by this little gem.,RESTAURANT,GENERAL,positive,0,0
293,1297844,1297844:2,The bagel was huge.,FOOD,STYLE_OPTIONS,positive,4,9
294,1297844,1297844:3,They were served warm and had a soft fluffy interior.,FOOD,QUALITY,positive,0,0
295,1297844,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,FOOD,STYLE_OPTIONS,negative,43,48
296,1297844,1297844:5,I loved it and would HIGHLY RECOMMEND.,RESTAURANT,GENERAL,positive,0,0
297,1300636,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,FOOD,QUALITY,positive,74,78
298,1300636,1300636:1,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",,,,,
299,1300636,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,FOOD,QUALITY,positive,31,43
300,1300636,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",FOOD,QUALITY,positive,21,26
301,1300636,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",FOOD,QUALITY,positive,45,49
302,1303888,1303888:0,All the staff is absolutely professional!! ,SERVICE,GENERAL,positive,8,13
303,1303888,1303888:1,I sometimes see the waiters don't have enough knowledge of their dishes.,,,,,
304,1303888,1303888:2,But they do.,,,,,
305,1303888,1303888:3,"(that is A MUST, but not every restaurant can do...) ",SERVICE,GENERAL,positive,0,0
306,1303888,1303888:4,"If you want to dine with large party, I recommend to make reservation BASEMENT.",,,,,
307,1303888,1303888:5,"There's nice and quiet, small but enough for 6 (or more).",AMBIENCE,GENERAL,positive,0,0
308,1303984,1303984:0,This restaurant was way overhyped.,RESTAURANT,GENERAL,negative,5,15
309,1303984,1303984:1,My chow fun and chow see was really bland and oily.,FOOD,QUALITY,negative,3,24
310,1303984,1303984:2,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,FOOD,QUALITY,negative,0,0
311,1303984,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,FOOD,QUALITY,neutral,4,21
312,1308557,1308557:0,The service was the only thing good about this restaurant.,SERVICE,GENERAL,positive,4,11
313,1308557,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",AMBIENCE,GENERAL,negative,0,0
314,1308557,1308557:2,I definitely wouldn't go back.,RESTAURANT,GENERAL,negative,0,0
315,1310217,1310217:0,There are many Thai places in the city but so far Toons is #1.,,,,,
316,1310217,1310217:1,Their pad penang is delicious and everything else is fantastic.,FOOD,QUALITY,positive,6,16
317,1310217,1310217:2,The price is reasonable although the service is poor.,RESTAURANT,PRICES,positive,0,0
318,1318537,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,RESTAURANT,GENERAL,positive,0,16
319,1318537,1318537:1,"great for a romantic evening, or a fun evening with friends...",AMBIENCE,GENERAL,positive,0,0
320,1318537,1318537:2,I will be going back very soon.,RESTAURANT,GENERAL,positive,0,0
321,1318537,1318537:3,keep up the good work.,RESTAURANT,GENERAL,positive,0,0
322,1318537,1318537:4,Hats off to the chef.,FOOD,QUALITY,positive,16,20
323,1328078,1328078:0,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",,,,,
324,1328078,1328078:1,He has visited Thailand and is quite expert on the cuisine.,,,,,
325,1328078,1328078:2,It was wonderful.,RESTAURANT,GENERAL,positive,0,0
326,1328078,1328078:3,"the salads are delicious, both refreshing and very spicy.",FOOD,QUALITY,positive,4,10
327,1328078,1328078:4,We had Pam's special fried fish and it was amazing.,FOOD,QUALITY,positive,7,31
328,1328078,1328078:5,too large for just two people but nothing was left.,FOOD,STYLE_OPTIONS,negative,0,0
329,1328078,1328078:6,Unbelievable.,,,,,
330,1335154,1335154:0,Had a late night dinner on a Saturday night.,,,,,
331,1335154,1335154:1,"Great vibe, lots of people.",AMBIENCE,GENERAL,positive,6,10
332,1335154,1335154:2,"My husband and I both ordered the Steak, medium.",,,,,
333,1335154,1335154:3,"My husbands was perfect, my was well done and dry.",FOOD,QUALITY,positive,0,0
334,1335154,1335154:4,"I didn't complain, I liked the atmosphere so much.",AMBIENCE,GENERAL,positive,31,41
335,1335154,1335154:5,Will give it another chance before I write it off.,,,,,
336,1335656,1335656:0,Visited there while on vacation and reading the reviews.,,,,,
337,1335656,1335656:1,On a hot day it was fabulous to stop in and enjoy lunch.,RESTAURANT,GENERAL,positive,0,0
338,1335656,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.",AMBIENCE,GENERAL,positive,0,8
339,1335656,1335656:3,Salads were fantastic.,FOOD,QUALITY,positive,0,6
340,1335656,1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,FOOD,QUALITY,positive,66,72
341,1335656,1335656:5,Ingredients are organic which is a real plus for me.,FOOD,QUALITY,positive,0,11
342,1335656,1335656:6,We will be back.,RESTAURANT,GENERAL,positive,0,0
343,1338124,1338124:0,"This is some really good, inexpensive sushi.",FOOD,QUALITY,positive,38,43
344,1338124,1338124:1,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",,,,,
345,1338124,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,FOOD,STYLE_OPTIONS,positive,4,19
346,1338124,1338124:3,The Yellowtail was particularly good as well.,FOOD,QUALITY,positive,4,14
347,1338124,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",FOOD,STYLE_OPTIONS,negative,30,50
348,1338124,1338124:5,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",RESTAURANT,GENERAL,positive,24,29
349,1340075,1340075:0,Big Wong gets big Ups for a fine establishment.,RESTAURANT,GENERAL,positive,0,8
350,1340075,1340075:1,"They have it all -- great price, food, and service.",RESTAURANT,GENERAL,positive,0,0
351,1340075,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,AMBIENCE,GENERAL,negative,4,14
352,1340075,1340075:3,The food is prepared quickly and efficiently.,SERVICE,GENERAL,positive,0,0
353,1340075,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",FOOD,PRICES,positive,0,0
354,1340075,1340075:5,The takeout is great too since they give high quality tupperware as well.,SERVICE,GENERAL,positive,4,11
355,1340075,1340075:6,This place is always very crowded and popular.,RESTAURANT,MISCELLANEOUS,positive,5,10
356,1341354,1341354:0,Went here on a friend's reccomendation.,,,,,
357,1341354,1341354:1,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,FOOD,QUALITY,positive,20,32
358,1341354,1341354:2,We both opted for a pasta dish and they were served timely and fresh.,SERVICE,GENERAL,positive,0,0
359,1341354,1341354:3,"We concluded with tiramisu chocolate cake, both were delicious.",FOOD,QUALITY,positive,18,41
360,1341354,1341354:4,We'd go back again,RESTAURANT,GENERAL,positive,0,0
361,1347423,1347423:0,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,RESTAURANT,GENERAL,positive,24,34
362,1347423,1347423:1,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",SERVICE,GENERAL,positive,4,9
363,1347423,1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,SERVICE,GENERAL,positive,29,36
364,1347423,1347423:3,"Yes, the prices are high, but I felt it was worth it.",RESTAURANT,PRICES,negative,0,0
365,1347423,1347423:4,We all felt it was worth it.,RESTAURANT,GENERAL,positive,0,0
366,1349391,1349391:0,sometimes i get good food and ok service.,FOOD,QUALITY,positive,21,25
367,1349391,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",FOOD,QUALITY,negative,20,24
368,1349391,1349391:2,it is not consistent.,RESTAURANT,GENERAL,negative,0,0
369,1349391,1349391:3,really depends on your luck!,,,,,
370,1352948,1352948:0,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,FOOD,STYLE_OPTIONS,positive,42,48
371,1352948,1352948:1,And where does Patis go wrong; no where. ,RESTAURANT,GENERAL,positive,15,20
372,1352948,1352948:2,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",FOOD,STYLE_OPTIONS,positive,0,0
373,1352948,1352948:3,And evaluated on those terms Pastis is simply wonderful.,RESTAURANT,GENERAL,positive,29,35
374,1353599,1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,FOOD,QUALITY,positive,64,69
375,1353599,1353599:1,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,FOOD,QUALITY,negative,76,85
376,1353599,1353599:2,My friend got the mushroom pizza which tasted better.,FOOD,QUALITY,positive,18,32
377,1353599,1353599:3,The sangria was pretty tasty and good on a hot muggy day.,DRINKS,QUALITY,positive,4,11
378,1353599,1353599:4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,RESTAURANT,MISCELLANEOUS,neutral,16,21
379,1353599,1353599:5,Overall I would recommend it and go back again.,RESTAURANT,GENERAL,positive,0,0
380,1353599,1353599:6,Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),,,,,
381,1357554,1357554:0,I started out with a Bombay beer which was big enough for two.,DRINKS,STYLE_OPTIONS,positive,21,32
382,1357554,1357554:1,For dinner I had the chicken tikka-masala and some garlic naan.,,,,,
383,1357554,1357554:2,MMmmm... it was delicious.,FOOD,QUALITY,positive,0,0
384,1357554,1357554:3,"Service was slow, but the people were friendly.",SERVICE,GENERAL,negative,0,7
385,1357554,1357554:4,It's a nice place to relax and have conversation.,AMBIENCE,GENERAL,positive,12,17
386,1357554,1357554:5,I can't wait to go back.,RESTAURANT,GENERAL,positive,0,0
387,1367358,1367358:0,We have lived in Chelsea for two years and have never noticed this restaurant.,,,,,
388,1367358,1367358:1,The food is authentic Italian - delicious!,FOOD,QUALITY,positive,4,8
389,1367358,1367358:2,"Pizza is terrific, as is homemade pasta.",FOOD,QUALITY,positive,0,5
390,1367358,1367358:3,"Ambience is delightful, service impeccable.",AMBIENCE,GENERAL,positive,0,8
391,1380450,1380450:0,I'm still mad that i had to pay for lousy food.,FOOD,QUALITY,negative,42,46
392,1380450,1380450:1,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,FOOD,QUALITY,negative,4,16
393,1380450,1380450:2,Service was also horrible and the ambience is not that great.,SERVICE,GENERAL,negative,0,7
394,1380450,1380450:3,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,RESTAURANT,MISCELLANEOUS,negative,0,0
395,1387314,1387314:0,I go and eat out at many different restaurants and this is one place you have go and try.,RESTAURANT,GENERAL,positive,63,68
396,1387314,1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,FOOD,QUALITY,positive,68,72
397,1387314,1387314:2,The filet mignon dish was superb!,FOOD,QUALITY,positive,4,21
398,1387314,1387314:3,I would defiantly come back here again as one of my top choices.,RESTAURANT,GENERAL,positive,0,0
399,1387314,1387314:4,It's a small cute restaurant.,RESTAURANT,GENERAL,positive,18,28
400,1390357,1390357:0,I absolutely love this place!!!,RESTAURANT,GENERAL,positive,23,28
401,1390357,1390357:1,"From the street it looks very hidden, and is actually an old warehouse.",,,,,
402,1390357,1390357:2,"I like the ambience, it's very dark and original.",AMBIENCE,GENERAL,positive,11,19
403,1390357,1390357:3,I came here for my friend's birthday and keep coming back ever since.,,,,,
404,1390357,1390357:4,The sushi is amazing!!! ,FOOD,QUALITY,positive,4,9
405,1390357,1390357:5,And amazingly cheap.,FOOD,PRICES,positive,0,0
406,1390357,1390357:6,Big thumbs up!,RESTAURANT,GENERAL,positive,0,0
407,1394712,1394712:0,Very affordable and excellent ambient!,AMBIENCE,GENERAL,positive,30,37
408,1394712,1394712:1,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,FOOD,QUALITY,negative,16,43
409,1394712,1394712:2,We were very disappointed.,FOOD,QUALITY,negative,0,0
410,1394712,1394712:3,We won't go to this place again for a good meal.,FOOD,QUALITY,negative,43,47
411,1394712,1394712:4,"However, I think this place is a good hang out spot.",AMBIENCE,GENERAL,positive,22,27
412,1394712,1394712:5,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",,,,,
413,1395421,1395421:0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,RESTAURANT,GENERAL,positive,47,52
414,1395421,1395421:1,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,FOOD,QUALITY,positive,4,9
415,1395421,1395421:2,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,AMBIENCE,GENERAL,positive,21,40
416,1395421,1395421:3,"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.",RESTAURANT,MISCELLANEOUS,positive,0,0
417,1395421,1395421:4,Check this place out!,RESTAURANT,GENERAL,positive,11,16
418,1395421,1395421:5,HIGHLY RECOMMENDED!!!!!,RESTAURANT,GENERAL,positive,0,0
419,1398844,1398844:0,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",AMBIENCE,GENERAL,negative,19,24
420,1398844,1398844:1,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",AMBIENCE,GENERAL,negative,0,0
421,1398844,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",AMBIENCE,GENERAL,negative,4,10
422,1398844,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,DRINKS,QUALITY,negative,23,28
423,1398844,1398844:4,Service is not what one would expect from a joint in this price category.,SERVICE,GENERAL,negative,0,7
424,1398844,1398844:5,"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc.... ",SERVICE,GENERAL,negative,0,0
425,1398844,1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,SERVICE,GENERAL,negative,88,95
426,1398844,1398844:7,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",FOOD,QUALITY,positive,57,61
427,1404042,1404042:0,"To celebrate a birthday, three of us went to Mare anticipating great food.",,,,,
428,1404042,1404042:1,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,FOOD,QUALITY,negative,15,20
429,1404042,1404042:2,Fish was overdone.,FOOD,QUALITY,negative,0,4
430,1404042,1404042:3,"Cute place, nice wait staff but would never go there again.",SERVICE,GENERAL,positive,17,27
431,1404042,1404042:4,Someone else recommended the dessert - we also left that.,FOOD,QUALITY,negative,29,36
432,1404042,1404042:5,One of us actually liked the expresso - that's it.,DRINKS,QUALITY,positive,29,37
433,1404042,1404042:6,"Skip this restaurant, it's a big disappointment.",RESTAURANT,GENERAL,negative,10,20
434,1410878,1410878:0,Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,RESTAURANT,GENERAL,positive,0,5
435,1410878,1410878:1,I've never had bad service and the fish is fresh and delicious.,SERVICE,GENERAL,positive,19,26
436,1410878,1410878:2,Their tuna tartar appetizer is to die for.,FOOD,QUALITY,positive,6,27
437,1413697,1413697:0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",FOOD,QUALITY,positive,80,85
438,1413697,1413697:1,It is simply amazing.,FOOD,QUALITY,positive,0,0
439,1413697,1413697:2,The place is so cool and the service is prompt and curtious.,SERVICE,GENERAL,positive,29,36
440,1413697,1413697:3,I highly recommend to anyone to give this place a try.,RESTAURANT,GENERAL,positive,42,47
441,1413697,1413697:4,You will find yourself returning quite often.,RESTAURANT,GENERAL,positive,0,0
442,1413697,1413697:5,P.S. Please don't tell anyone in my family i eat there.,,,,,
443,1413697,1413697:6,LOL,,,,,
444,1417496,1417496:0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,FOOD,QUALITY,positive,64,68
445,1417496,1417496:1,No gimmicks here -- the food speaks for itself in its freshness and preparation.,FOOD,QUALITY,positive,24,28
446,1417496,1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,AMBIENCE,GENERAL,positive,4,15
447,1417496,1417496:3,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",SERVICE,GENERAL,positive,4,11
448,1417496,1417496:4,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",FOOD,QUALITY,positive,65,69
449,1417496,1417496:5,Beautiful experience.,RESTAURANT,GENERAL,positive,0,0
450,1430994,1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,LOCATION,GENERAL,positive,4,8
451,1430994,1430994:1,The staff offers impeccable service.,SERVICE,GENERAL,positive,4,9
452,1430994,1430994:2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,FOOD,QUALITY,positive,6,20
453,1430994,1430994:3,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,FOOD,QUALITY,positive,21,40
454,1430994,1430994:4,I had Filet Mignon with garlic mash.,,,,,
455,1430994,1430994:5,It was divine melts in your mouth.,FOOD,QUALITY,positive,0,0
456,1430994,1430994:6,My boyfriend had Prime Rib it was good .,FOOD,QUALITY,positive,17,26
457,1430994,1430994:7,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,DRINKS,STYLE_OPTIONS,positive,69,87
458,1430994,1430994:8,We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it. ,,,,,
459,1430994,1430994:9,It's cuz it's so good you need to taste it!!! ,FOOD,QUALITY,positive,0,0
460,1430994,1430994:10,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,RESTAURANT,GENERAL,positive,0,0
461,1431154,1431154:0,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,FOOD,QUALITY,positive,91,95
462,1431154,1431154:1,If you like spicy food get the chicken vindaloo.,FOOD,QUALITY,positive,31,47
463,1431154,1431154:2,It's very spicy but not offensive.,FOOD,QUALITY,positive,0,0
464,1431154,1431154:3,We will definitely go back.,RESTAURANT,GENERAL,positive,0,0
465,1432551,1432551:0,Go to Volare for 1st class service and terrific food.,SERVICE,GENERAL,positive,27,34
466,1432551,1432551:1,The portions are large and the servers always surprise us with a different starter.,FOOD,STYLE_OPTIONS,positive,4,12
467,1432551,1432551:2,The wine list is excellent.,DRINKS,STYLE_OPTIONS,positive,4,13
468,1439875,1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD,QUALITY,positive,4,8
469,1439875,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",SERVICE,GENERAL,positive,75,82
470,1439875,1439875:2,People dress in suits or evening gowns as well as shirts jeans.,,,,,
471,1439875,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD,PRICES,negative,4,8
472,1439875,1439875:4,"Recommendations, of course, are required!",,,,,
473,1439875,1439875:5,Please be aware that it's CASH or AMEX only!,RESTAURANT,MISCELLANEOUS,neutral,0,0
474,1448587,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD,QUALITY,neutral,104,108
475,1448587,1448587:1,The menu is very limited - i think we counted 4 or 5 entrees.,FOOD,STYLE_OPTIONS,negative,4,8
476,1448587,1448587:2,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",FOOD,QUALITY,negative,24,40
477,1448587,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE,GENERAL,neutral,4,9
478,1448587,1448587:4,Problem is nothing at Prune is particularly memorable.,RESTAURANT,GENERAL,negative,22,27
479,1448587,1448587:5,No plans to return anytime soon.,RESTAURANT,GENERAL,negative,0,0
480,1451107,1451107:0,This place is so much fun.,AMBIENCE,GENERAL,positive,5,10
481,1451107,1451107:1,Our family never expected such incredible entertainment in a restaurant.,AMBIENCE,GENERAL,positive,42,55
482,1451107,1451107:2,This place must have cost the owners afortune to build.,,,,,
483,1451107,1451107:3,I think the stuff was better than Disney.,,,,,
484,1451107,1451107:4,Our food was great too!,FOOD,QUALITY,positive,4,8
485,1451107,1451107:5,And really large portions.,FOOD,STYLE_OPTIONS,positive,17,25
486,1451107,1451107:6,The staff was the friendliest that have seen in New York.,SERVICE,GENERAL,positive,4,9
487,1451107,1451107:7,We will go back every time we are in the City.,RESTAURANT,GENERAL,positive,0,0
488,1451109,1451109:0,If you want something really different than try Jekyll and Hyde.,RESTAURANT,GENERAL,positive,48,63
489,1451109,1451109:1,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,AMBIENCE,GENERAL,positive,0,0
490,1451109,1451109:2,The food was pretty tradional but it was hot and good with large portions.,FOOD,QUALITY,positive,4,8
491,1451109,1451109:3,I highly recommend it.,RESTAURANT,GENERAL,positive,0,0
492,1451109,1451109:4,I am going to the mid town location next.,,,,,
493,1457607,1457607:0,The place is a lot of fun.,AMBIENCE,GENERAL,positive,4,9
494,1457607,1457607:1,My six year old loved it.,RESTAURANT,GENERAL,positive,0,0
495,1457607,1457607:2,The characters really make for an enjoyable experience.,AMBIENCE,GENERAL,positive,4,14
496,1457607,1457607:3,"The food however, is what one might expect.",FOOD,QUALITY,negative,4,8
497,1457607,1457607:4,It is very overpriced and not very tasty.,FOOD,QUALITY,negative,0,0
498,1457607,1457607:5,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",RESTAURANT,GENERAL,positive,17,33
499,1457607,1457607:6,We had a good time.,RESTAURANT,GENERAL,positive,0,0
500,1459569,1459569:0,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,SERVICE,GENERAL,negative,0,0
501,1459569,1459569:1,Service was slow had to wait to order and get food although not crowded.,SERVICE,GENERAL,negative,0,7
502,1459569,1459569:2,Drinks way over priced.,DRINKS,PRICES,negative,0,6
503,1459569,1459569:3,Food was good not great not worth the wait or another visit,FOOD,QUALITY,neutral,0,4
504,1460715,1460715:0,Great pizza for lunch place.,FOOD,QUALITY,positive,6,11
505,1460715,1460715:1,Service was quick.,SERVICE,GENERAL,positive,0,7
506,1460715,1460715:2,The pizza was great.,FOOD,QUALITY,positive,4,9
507,1460715,1460715:3,And it was quick which is very important.,SERVICE,GENERAL,positive,0,0
508,1460715,1460715:4,Have the iced tea.,,,,,
509,1460715,1460715:5,It was wonderful.,DRINKS,QUALITY,positive,0,0
510,1470286,1470286:0,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",FOOD,QUALITY,positive,63,67
511,1470286,1470286:1,Delivery is fast too.,SERVICE,GENERAL,positive,0,8
512,1470286,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE,GENERAL,positive,15,22
513,1470286,1470286:3,A little overpriced but worth it once you take a bite.,FOOD,PRICES,negative,0,0
514,1470334,1470334:0,"Growing up in NY, I have eaten my share of bagels.",,,,,
515,1470334,1470334:1,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,FOOD,QUALITY,positive,63,68
516,1470334,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD,QUALITY,positive,4,10
517,1470334,1470334:3,They have a huge selection of different cream cheeses and all of their salads are great.,FOOD,QUALITY,positive,71,77
